# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 322.115680560267 325052.876538964 336.077875910601 4.59157922158673 -214.681953270208 -282.866126677973
100 262.821741642676 358543.771359565 332.782414983494 4.63704848089001 -207.72788004496 -282.199738863464
200 327.761162538024 369490.018926947 331.557466086398 4.65418019410249 -205.466174522258 -281.929145000001
300 244.570183535545 338854.74518819 334.695389529555 4.61054511098921 -211.909014201028 -282.695922469062
400 270.892629029921 339197.934552789 334.386090678056 4.61480975101871 -211.989879800959 -282.782998599779
500 249.360537949208 363998.83749516 331.991310007343 4.64809814399054 -207.006289395695 -282.431469393759
600 165.110730792322 357814.36654837 332.997107486673 4.63405884667594 -208.373057095322 -282.741361135348
700 230.979114650764 344098.508805799 333.959481818372 4.62070483360424 -211.224026422694 -282.948308794367
800 292.925568784665 350221.331176048 333.274684444409 4.63019924372179 -209.802620550708 -282.653460413482
900 295.320552641769 354283.967254978 333.306064446694 4.62976332107187 -208.663093795798 -282.365956634142
1000 347.688049765761 350428.327602279 333.394207746029 4.62853929676437 -209.269461173411 -282.189501289296
1100 332.139466733972 346197.747465111 334.214882512396 4.61717377833672 -210.075877267215 -282.292914213586
1200 321.898623488969 348001.416245489 333.698232423862 4.62432234254704 -209.729383200046 -282.21044722896
1300 309.220137670909 353516.677870431 333.327866579187 4.62946049996551 -208.655764090268 -282.203815777901
1400 295.648336755402 349016.565468714 333.735270382672 4.62380913499708 -209.710146704725 -282.410712369453
1500 275.690878427517 350402.338354084 333.362103156938 4.62898505034826 -209.567030574573 -282.474641230969
1600 274.176707524554 352184.508458009 333.239488964166 4.63068826765623 -209.264374967782 -282.51584608825
1700 249.081344431798 346149.866680546 333.740976395756 4.62373008112809 -210.620196369631 -282.724858050305
1800 229.525988743153 354640.517344105 332.941941285026 4.63482667852013 -209.03204695425 -282.728485706704
1900 226.509969096553 356082.387558331 332.413810962507 4.64219036928092 -208.922375015468 -282.801066573416
2000 222.278485179659 337293.484986626 334.253431417703 4.61664128718467 -212.859647244979 -283.227365627826
2100 237.958336425631 346546.673534209 333.269803166071 4.63026706052083 -210.864319939201 -282.949724809765
2200 232.403026950229 367416.760412524 331.555070417984 4.65421382312366 -206.343479278109 -282.376856294513
2300 236.246386403301 347735.004336169 333.702793442095 4.62425913774644 -210.167927111609 -282.594493301151
2400 278.098177325346 334970.634282106 335.052111156072 4.60563637859697 -212.669780043097 -282.719876391102
2500 293.316227403795 356689.95168061 333.089347931407 4.63277556442272 -208.049422742422 -282.20456321476
2600 292.303584002115 368326.710390271 332.012654734668 4.64779932288825 -205.489406190335 -281.816283364205
2700 346.401800356382 335656.11649713 334.911279234929 4.60757307246039 -212.303782216836 -282.467724428622
2800 335.683577857735 336609.928323821 334.992447906997 4.60645665747825 -212.136366220534 -282.516741840196
2900 349.595265648674 369563.734350396 331.594105440888 4.65366593237348 -205.307861650998 -281.794538303235
3000 333.657300451651 354659.066980311 333.074698624431 4.63297932337431 -208.575896171918 -282.305576921129
3100 274.131776681876 329444.65909293 335.433174352395 4.60040422312243 -214.081283360514 -283.054126098492
3200 247.272440806184 356647.954661952 332.783349073268 4.63703546515596 -208.484150293994 -282.562443660882
3300 266.755191149858 368503.99171816 331.525151597126 4.65463384733281 -206.07584184354 -282.327329565716
3400 234.486996641792 340089.412872363 334.438057797374 4.61409267243458 -211.929725690876 -282.919933522837
3500 271.165749466775 342134.438184318 334.242007459235 4.61679907799837 -211.248297399899 -282.623518194651
3600 359.542026605419 357567.881779826 332.838305272573 4.6362698265826 -207.667852070645 -281.949485705579
3700 282.521627147792 356612.565227156 332.850505577676 4.63609988871117 -207.768652144939 -281.854542576618
3800 355.616885908539 329857.067892124 335.773536717055 4.59574094776403 -213.355902098411 -282.485161139008
3900 352.878435933576 346620.603286545 334.011684088408 4.6199826694017 -209.921753434564 -282.183037658542
4000 325.338324706298 369354.129932719 331.495059093045 4.65505638632457 -205.377242592863 -281.797705087668
4100 318.728056498782 337182.866966714 334.711352287456 4.61032522894788 -212.206956399315 -282.647967967386
4200 263.426660693241 335151.108196376 334.934485738135 4.60725382895507 -212.765831696364 -282.829063848577
4300 223.840093585768 378140.215944028 330.898770892327 4.66344491913585 -203.939859125241 -282.037454914992
4400 278.773047178553 356643.086445095 332.588602988366 4.63975066493814 -208.380896507724 -282.414828403638
4500 279.200230579579 316904.606274348 336.519893376031 4.58554820157931 -216.593465803215 -283.15586034203
4600 345.196024650009 342490.623222449 334.09541587962 4.61882479830892 -211.038273722682 -282.45646466505
4700 276.217918961553 390094.226187146 330.252975613514 4.67256408212351 -200.785561048067 -281.194791222119
4800 366.143889653555 350150.316130938 334.040420716262 4.61958522431891 -208.893346622692 -281.896763483638
4900 324.308080299532 315702.529681756 337.179345902125 4.57657982501114 -216.163099645507 -282.602953467942
5000 324.312817448872 356548.49913697 333.398717987747 4.6284766815535 -207.69617589265 -281.890755898487
5100 357.115297743901 382097.813739713 330.708692782678 4.66612528047508 -202.574001658816 -281.443632125235
5200 341.825048991662 335095.792408421 334.840460993883 4.60854756705854 -212.550686996695 -282.582690091951
5300 285.909799544738 317104.49520417 336.75770318447 4.58231000293057 -216.446498333857 -283.097944959386
5400 273.810206327638 371423.826509962 331.24200320528 4.65861266667259 -205.233058836525 -282.023083113707
5500 265.519135957048 373795.710464627 331.261105789112 4.65834402197676 -204.756013915978 -282.040870102384
5600 246.639733725092 324040.050966989 336.100416030168 4.59127129353988 -215.097186624214 -283.073465105668
5700 314.604735397812 347269.471856618 333.63095806663 4.62525480491513 -210.183331445029 -282.497365886812
5800 284.339207153627 375819.840230556 331.220588528218 4.65891386378795 -204.111473211882 -281.805328203355
5900 277.82550634233 339943.382979978 335.179199165142 4.60389008539228 -211.214894146101 -282.331872124943
6000 381.460777153428 333839.776768282 335.385509484118 4.60105803092007 -212.244424938153 -282.12750187599
6100 339.456112338072 369964.966825298 332.555621779573 4.64021081228014 -204.719321926301 -281.511067142415
6200 383.202426184108 360814.921377397 332.685288606837 4.6384022519546 -206.798996815536 -281.720715023294
