# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 335.305349963062 347257.864526468 326.521539670211 4.72596139729309 -228.476448116683 -299.24716069908
100 329.367386069816 349230.072312044 325.985223883674 4.73373661996648 -228.130085968502 -299.185830020143
200 348.570464243706 347905.601130628 326.336820451669 4.7286364735991 -228.450028055017 -299.312637567949
300 297.648788653957 341371.323808751 326.917674808628 4.7202348198807 -229.86886185531 -299.524308321976
400 257.796670747108 350505.540921935 326.179813519716 4.7309126068062 -228.195928736942 -299.553754778919
500 301.310735275621 364531.525092005 324.455613305427 4.75605330462719 -225.551174291849 -299.372191853203
600 253.210124545356 345004.92619828 326.300050888456 4.72916932640514 -229.618857217249 -299.882729503022
700 235.578204858566 334895.325850493 327.590231211468 4.71054398099554 -231.662570034318 -300.137196411001
800 263.812527802315 363438.570333078 324.42362361782 4.75652227374159 -225.711850789256 -299.304278308906
900 315.696558741454 361409.184771556 324.833210040289 4.75052471289721 -225.86998283585 -299.143873463623
1000 271.83957203785 333011.905328033 328.071035477577 4.70364044670926 -231.481572175598 -299.671038571672
1100 292.467858388567 340455.973921012 327.280879813641 4.71499646647492 -229.912296781109 -299.45814936519
1200 319.245736454071 371638.58673529 324.404256825755 4.75680623603829 -223.539166096008 -298.787517034645
1300 309.300817215092 354677.118064646 325.792333413775 4.73653930310956 -226.951687184409 -299.073008338947
1400 333.346576790497 322401.663138483 328.873161607353 4.69216820346224 -233.555709150112 -299.733969949606
1500 356.414199753872 343916.21915862 326.978865849673 4.71935147201705 -229.173332045738 -299.361189181199
1600 328.556862866841 378807.372409045 323.628114017862 4.76821427133784 -222.193947507814 -298.71030853845
1700 279.763235247714 338722.186884012 327.118536023731 4.71733644514163 -230.517354765852 -299.674720319681
1800 275.789897609083 316439.355180686 329.052934252621 4.68960471472784 -235.231114146628 -300.221019026155
1900 277.683291116543 369483.727531553 324.3648923271 4.7573835158152 -224.489320494643 -299.292283524863
2000 238.664915005466 381288.757167329 323.573278509444 4.76902233390414 -222.149095628742 -299.153628659544
2100 261.548309966917 324817.394261475 328.54525285996 4.6968512813176 -233.585055308906 -300.192706170687
2200 299.679697101906 321087.61735703 328.81122084063 4.69305210424693 -234.097131413365 -299.993249263036
2300 311.966957237415 384832.707110201 323.338759642694 4.77248132445165 -220.845461042282 -298.509395188709
2400 308.078683305599 364537.390758399 325.141378682427 4.74602217078413 -224.829231212776 -298.807466327622
2500 319.439596556042 306807.808932882 330.709082576164 4.666119780701 -236.622841611776 -299.951775109051
2600 308.771776665935 345191.611960827 327.148058243155 4.71691074724088 -228.771675241488 -299.256272646835
2700 307.5032065006 396921.953162435 322.696052493934 4.78198657820622 -218.347666076421 -298.292133763782
2800 271.767119710117 345996.654529317 327.046397263658 4.71837697885441 -228.771094379128 -299.398119135197
2900 302.679787139685 312171.184122051 329.486003972455 4.68344079342177 -235.816033603345 -300.013727185622
3000 314.772613851825 361125.713043036 325.081113606901 4.7469020108382 -226.00527031994 -299.277565193892
3100 236.639054412389 379500.796167145 323.812026341048 4.76550611570199 -222.446354036365 -299.146344209061
3200 223.363614852226 338793.640119433 327.285446533388 4.71493067660342 -230.773773691605 -299.981022574085
3300 225.8863133921 331200.75897043 327.909550190012 4.70595684380626 -232.306674907006 -300.091898255735
3400 208.20750142422 372812.978228726 324.16347599626 4.76033947724549 -223.676058703797 -299.10616950566
3500 264.440821980483 370467.082409272 324.545374310928 4.75473790111005 -223.813158388568 -298.856936605509
3600 324.094489512205 329798.531526628 328.523426550929 4.69716332885897 -231.974054339494 -299.598653532275
3700 314.75312302377 335013.945453105 327.936314194339 4.70557277457123 -230.888845227379 -299.460090951926
3800 353.32177615957 368406.365721988 324.635635163539 4.75341590607806 -224.077895082179 -298.724998278642
3900 352.599644418522 356767.901791795 325.563457720144 4.73986915691441 -226.52121528679 -299.016718566795
4000 269.282263156552 328013.498230024 328.520325883805 4.697207662006 -232.541569086818 -299.799515594468
4100 274.844988742007 343496.975578319 326.964388857906 4.71956043059092 -229.498574074711 -299.597766451147
4200 300.252081800082 368997.327272428 324.340904138053 4.75773537095802 -224.404081536596 -299.103046820423
4300 266.465470228001 354213.892168623 325.876711953962 4.7353128814069 -227.426376923627 -299.472158713789
4400 311.370442382387 328938.549041914 327.887614840915 4.70627166754932 -232.578485590869 -299.896210120335
4500 298.2828058287 347064.139935263 326.366587858229 4.72820518176462 -228.777978451791 -299.475644482109
4600 343.202289027004 368019.58212191 324.637079081945 4.75339476386984 -224.302211859387 -298.871275994965
4700 387.770032633865 341543.120346561 327.006284925728 4.71895576018242 -229.457043909169 -299.166434183255
