# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 1350.64721761434 -17946.8221944581 595.108094288542 2.59302168240704 -424.015387466401 -417.349268499683
100 1742.88897056664 -30285.7548871803 592.567828941922 2.60413764719813 -428.241522613196 -417.040282287074
200 1744.82725540146 24347.5042248741 576.541613304382 2.67652526072118 -406.98548482923 -415.746909906769
300 2043.89844925993 2003.54755250644 572.213738864942 2.69676885935509 -413.479858555878 -414.195421064761
400 1876.92922681719 -19011.4171090544 574.028185751805 2.68824463705573 -420.233402173513 -413.421987031872
500 2226.37675491365 18329.3579468863 583.084463861045 2.646491696328 -406.38804173785 -413.058694971983
600 1829.96694596146 -13377.7177251213 595.955445715587 2.58933482856797 -417.593110522645 -412.617052186043
700 2198.68049757762 -6638.70810259442 594.939268987927 2.59375750148614 -414.471045782443 -412.005881585126
800 2329.30986434039 20256.305951294 589.919784336268 2.61582715623333 -404.104218839739 -411.562570424747
900 1905.35253607803 4101.52393522249 590.615918001725 2.61274399289322 -409.84053062971 -411.352489720489
1000 2049.04432960139 -40320.3828058428 601.49609847102 2.56548329372159 -426.706046077946 -411.568791882437
1100 1877.43938068236 1148.91211309811 593.378993644468 2.60057772249132 -412.351242064517 -412.776750935391
1200 1729.62614001891 11132.5991737887 573.171969073796 2.69226039500798 -410.381532246508 -414.36417322854
1300 1486.35000268313 13394.6760620451 561.164868015518 2.74986600163189 -409.908514639559 -414.600021239779
1400 2212.99607097021 -13392.9012769594 572.435739026293 2.69572300725137 -419.568054018011 -414.782953662225
1500 1944.50919777366 -24856.1649061091 585.605660462969 2.63509780736435 -424.36764981348 -415.282564077659
1600 1962.61924818432 -18151.9469553659 589.410923890986 2.61808549743053 -421.393869167834 -414.716105622193
1700 1810.50800284802 -3536.15886254691 578.953709017345 2.66537404948189 -414.279125777777 -413.001318813846
1800 1827.25146872356 22322.5853641806 560.274945880694 2.75423379755181 -403.080364779376 -410.886486830744
1900 2517.7445741663 58902.3778528875 557.362248644598 2.76862703855298 -389.278454102583 -409.7693062469
2000 2280.5700426026 2262.97293600692 575.573624392142 2.68102659063956 -409.628396905223 -410.441358232941
2100 2177.33130907134 -22473.8709017736 594.645044924216 2.59504086519847 -419.697577737987 -411.35643931035
2200 2019.09670040595 -31938.9929656399 593.871738837847 2.59841998018946 -424.209530183857 -412.370843691305
2300 1937.46192470936 12528.3715178519 575.215145859042 2.68269742717148 -408.780356552248 -413.278306091527
2400 2021.58275505698 -11490.314075726 567.767749967562 2.71788630466292 -417.570004547062 -413.49814993604
2500 1745.09539754325 5072.05917314329 554.552546779962 2.78265459391788 -411.9893454645 -413.74490943132
2600 1780.73161249071 18950.8663535719 547.626842062809 2.81784615606759 -407.287290350929 -413.76473094225
2700 2103.29864083879 35421.8415576058 556.079700758253 2.77501262815736 -400.68453027549 -412.978660824565
2800 2625.60717241668 -33593.8434099296 583.067396477476 2.64656916368283 -423.573137698374 -411.347596495703
2900 2149.47659452653 -6282.76875169319 604.729300157047 2.5517668673659 -412.735633033164 -410.364249886389
3000 2051.54481204898 -60344.7782519251 613.920522537791 2.51356345848681 -433.390433640279 -410.267576828406
